seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,advantage
10,speck,4,test,15000,0.8500666666666666,0.9114680266666666,0.7701333333333333,0.93,0.35006666666666664
10,speck,5,test,15000,0.6639333333333334,0.73058768,0.6029333333333333,0.7249333333333333,0.16393333333333338
10,speck,6,test,15000,0.5032,0.5049281866666667,0.13253333333333334,0.8738666666666667,0.0031999999999999806
10,speck,7,test,15000,0.4997333333333333,0.5053437422222222,0.9766666666666667,0.0228,0.0002666666666666928
10,speck,8,test,15000,0.4962666666666667,0.4942415555555556,0.5698666666666666,0.4226666666666667,0.0037333333333333107
10,speck,9,test,15000,0.5034,0.50075688,0.3652,0.6416,0.0033999999999999586
10,speck,10,test,15000,0.5039333333333333,0.5066727377777778,0.4533333333333333,0.5545333333333333,0.003933333333333344
1,speck,3,test,15000,0.9452,0.9851175822222223,0.9225333333333333,0.9678666666666667,0.44520000000000004
1,speck,4,test,15000,0.8492666666666666,0.9114058755555555,0.7930666666666667,0.9054666666666666,0.3492666666666666
1,speck,5,test,15000,0.6698666666666667,0.7374558044444444,0.5569333333333333,0.7828,0.16986666666666672
1,speck,6,test,15000,0.4975333333333333,0.5005886311111111,0.44293333333333335,0.5521333333333334,0.0024666666666666726
1,speck,7,test,15000,0.4982666666666667,0.5017402577777778,0.2810666666666667,0.7154666666666667,0.001733333333333309
1,speck,8,test,15000,0.5073333333333333,0.5092914666666667,0.44626666666666664,0.5684,0.007333333333333303
1,speck,9,test,15000,0.5022,0.5013426666666667,0.21373333333333333,0.7906666666666666,0.0021999999999999797
1,speck,10,test,15000,0.5027333333333334,0.5019551022222222,0.31733333333333336,0.6881333333333334,0.0027333333333333654
2,speck,3,test,15000,0.9444666666666667,0.9858723911111111,0.9562666666666667,0.9326666666666666,0.4444666666666667
2,speck,4,test,15000,0.8461333333333333,0.9096601333333333,0.7774666666666666,0.9148,0.3461333333333333
2,speck,5,test,15000,0.6606666666666666,0.7293240266666666,0.7010666666666666,0.6202666666666666,0.16066666666666662
2,speck,6,test,15000,0.4998,0.49923119111111114,0.48693333333333333,0.5126666666666667,0.00019999999999997797
2,speck,7,test,15000,0.4992,0.5005833688888889,0.1808,0.8176,0.0008000000000000229
2,speck,8,test,15000,0.502,0.5029351377777778,0.376,0.628,0.0020000000000000018
2,speck,9,test,15000,0.4956,0.4929266755555556,0.7037333333333333,0.28746666666666665,0.004400000000000015
2,speck,10,test,15000,0.5075333333333333,0.5053190311111111,0.6084,0.4066666666666667,0.007533333333333281
3,speck,3,test,15000,0.9459333333333333,0.9846828088888889,0.9502666666666667,0.9416,0.4459333333333333
3,speck,4,test,15000,0.8423333333333334,0.9056931733333333,0.7665333333333333,0.9181333333333334,0.3423333333333334
3,speck,5,test,15000,0.6700666666666667,0.7337716355555556,0.632,0.7081333333333333,0.1700666666666667
3,speck,6,test,15000,0.49966666666666665,0.5059816088888889,0.0032,0.9961333333333333,0.00033333333333335213
3,speck,7,test,15000,0.5051333333333333,0.5100145422222222,0.4092,0.6010666666666666,0.005133333333333323
3,speck,8,test,15000,0.4962666666666667,0.4970843288888889,0.7714666666666666,0.22106666666666666,0.0037333333333333107
3,speck,9,test,15000,0.5040666666666667,0.5089965422222222,0.2104,0.7977333333333333,0.004066666666666663
3,speck,10,test,15000,0.5014666666666666,0.5028453777777777,0.3196,0.6833333333333333,0.0014666666666666162
4,speck,3,test,15000,0.944,0.9839732444444445,0.9248,0.9632,0.44399999999999995
4,speck,4,test,15000,0.8481333333333333,0.9125952444444445,0.7670666666666667,0.9292,0.3481333333333333
4,speck,5,test,15000,0.6635333333333333,0.734022968888889,0.7241333333333333,0.6029333333333333,0.1635333333333333
4,speck,6,test,15000,0.5049333333333333,0.5097764,0.7825333333333333,0.22733333333333333,0.004933333333333345
4,speck,7,test,15000,0.49993333333333334,0.5019071466666667,0.5968,0.4030666666666667,6.666666666665932e-05
4,speck,8,test,15000,0.49473333333333336,0.49584367111111116,0.47973333333333334,0.5097333333333334,0.005266666666666642
4,speck,9,test,15000,0.5018666666666667,0.5025113066666667,0.22346666666666667,0.7802666666666667,0.0018666666666666831
4,speck,10,test,15000,0.4945333333333333,0.4895654222222222,0.5841333333333333,0.4049333333333333,0.005466666666666675
5,speck,3,test,15000,0.9499333333333333,0.9861215288888888,0.9438666666666666,0.956,0.4499333333333333
5,speck,4,test,15000,0.8439333333333333,0.90996248,0.7333333333333333,0.9545333333333333,0.3439333333333333
5,speck,5,test,15000,0.6622666666666667,0.7246468444444444,0.5930666666666666,0.7314666666666667,0.16226666666666667
5,speck,6,test,15000,0.49893333333333334,0.5010148533333334,0.21426666666666666,0.7836,0.0010666666666666602
5,speck,7,test,15000,0.4944,0.49463948444444444,0.7778666666666667,0.21093333333333333,0.005599999999999994
5,speck,8,test,15000,0.4956,0.4954803733333333,0.4764,0.5148,0.004400000000000015
5,speck,9,test,15000,0.5059333333333333,0.5091802933333334,0.10586666666666666,0.906,0.005933333333333346
5,speck,10,test,15000,0.5028,0.5057457422222222,0.8464,0.1592,0.0028000000000000247
6,speck,3,test,15000,0.947,0.985010888888889,0.9489333333333333,0.9450666666666667,0.44699999999999995
6,speck,4,test,15000,0.8530666666666666,0.9148890488888888,0.8093333333333333,0.8968,0.35306666666666664
6,speck,5,test,15000,0.6654666666666667,0.7319622311111111,0.7129333333333333,0.618,0.16546666666666665
6,speck,6,test,15000,0.5035333333333334,0.5011219822222223,0.3656,0.6414666666666666,0.0035333333333333883
6,speck,7,test,15000,0.5028666666666667,0.49881250666666666,0.14706666666666668,0.8586666666666667,0.002866666666666684
6,speck,8,test,15000,0.5044666666666666,0.5043248088888889,0.8338666666666666,0.17506666666666668,0.004466666666666619
6,speck,9,test,15000,0.5047333333333334,0.5035669155555555,0.22173333333333334,0.7877333333333333,0.004733333333333367
6,speck,10,test,15000,0.5022,0.5028921422222222,0.41786666666666666,0.5865333333333334,0.0021999999999999797
7,speck,3,test,15000,0.9486,0.9857319199999999,0.9301333333333334,0.9670666666666666,0.4486
7,speck,4,test,15000,0.8532,0.9155941866666666,0.8118666666666666,0.8945333333333333,0.35319999999999996
7,speck,5,test,15000,0.6657333333333333,0.7301501777777779,0.6613333333333333,0.6701333333333334,0.1657333333333333
7,speck,6,test,15000,0.49893333333333334,0.49537752888888886,0.42293333333333333,0.5749333333333333,0.0010666666666666602
7,speck,7,test,15000,0.5000666666666667,0.49769743111111114,0.29146666666666665,0.7086666666666667,6.666666666665932e-05
7,speck,8,test,15000,0.5004,0.5036904711111111,0.6316,0.3692,0.00039999999999995595
7,speck,9,test,15000,0.49833333333333335,0.5017021333333334,0.6813333333333333,0.31533333333333335,0.0016666666666666496
7,speck,10,test,15000,0.4952,0.4942703911111111,0.7957333333333333,0.19466666666666665,0.0048000000000000265
8,speck,3,test,15000,0.9491333333333334,0.9869012533333333,0.9582666666666667,0.94,0.4491333333333334
8,speck,4,test,15000,0.8522,0.9132595377777777,0.7848,0.9196,0.35219999999999996
8,speck,5,test,15000,0.6631333333333334,0.7369772533333334,0.5381333333333334,0.7881333333333334,0.16313333333333335
8,speck,6,test,15000,0.5009333333333333,0.4987830044444445,0.13933333333333334,0.8625333333333334,0.0009333333333333416
8,speck,7,test,15000,0.4976,0.4996326933333334,0.7010666666666666,0.29413333333333336,0.0024000000000000132
8,speck,8,test,15000,0.5038,0.4980378133333333,0.6378666666666667,0.36973333333333336,0.0038000000000000256
8,speck,9,test,15000,0.49866666666666665,0.4978398933333333,0.4556,0.5417333333333333,0.001333333333333353
8,speck,10,test,15000,0.5036,0.5023464799999999,0.6853333333333333,0.3218666666666667,0.0036000000000000476
9,speck,3,test,15000,0.9509333333333333,0.9867471644444444,0.9449333333333333,0.9569333333333333,0.4509333333333333
9,speck,4,test,15000,0.8441333333333333,0.9134907377777777,0.8354666666666667,0.8528,0.3441333333333333
9,speck,5,test,15000,0.6654,0.7307201333333334,0.6132,0.7176,0.1654
9,speck,6,test,15000,0.5079333333333333,0.50714216,0.1824,0.8334666666666667,0.007933333333333348
9,speck,7,test,15000,0.5050666666666667,0.4999035733333333,0.9381333333333334,0.072,0.005066666666666664
9,speck,8,test,15000,0.5010666666666667,0.5034727555555555,0.5662666666666667,0.4358666666666667,0.0010666666666666602
9,speck,9,test,15000,0.4922,0.4905318133333333,0.5066666666666667,0.47773333333333334,0.007799999999999974
9,speck,10,test,15000,0.5044666666666666,0.503378,0.5686666666666667,0.44026666666666664,0.004466666666666619
10,speck,3,test,15000,0.9512666666666667,0.986104568888889,0.9425333333333333,0.96,0.4512666666666667
10,speck,4,test,15000,0.8500666666666666,0.9114680266666666,0.7701333333333333,0.93,0.35006666666666664
10,speck,5,test,15000,0.6639333333333334,0.73058768,0.6029333333333333,0.7249333333333333,0.16393333333333338
10,speck,6,test,15000,0.5032,0.5049281866666667,0.13253333333333334,0.8738666666666667,0.0031999999999999806
10,speck,7,test,15000,0.4997333333333333,0.5053437422222222,0.9766666666666667,0.0228,0.0002666666666666928
10,speck,8,test,15000,0.4962666666666667,0.4942415555555556,0.5698666666666666,0.4226666666666667,0.0037333333333333107
10,speck,9,test,15000,0.5034,0.50075688,0.3652,0.6416,0.0033999999999999586
10,speck,10,test,15000,0.5039333333333333,0.5066727377777778,0.4533333333333333,0.5545333333333333,0.003933333333333344
